"","state","date","daily_newcase","total_doses","daily_doses","transcript_sentiment_positive","transcript_sentiment_neutral","transcript_sentiment_negative","avr_positive_tweet_sentiment","avr_neutral_tweet_sentiment","avr_negative_tweet_sentiment"
"219","NSW",2021-08-21,832,5766280,127264,0.32,0.07,0.61,0.331428571428571,0.292857142857143,0.375714285714286
"220","NSW",2021-08-20,646,5639016,120581,0.32,0.043076923,0.636923077,0.075,0.27125,0.65375
"221","NSW",2021-08-19,684,5518435,132439,0.3075,0.038333333,0.654166667,0.125,0.505,0.37
"222","NSW",2021-08-18,634,5385996,109550,0.285555556,0.04,0.674444444,0.301818181818182,0.298181818181818,0.4
"223","NSW",2021-08-17,454,5276446,106122,0.295833333,0.034166667,0.67,0.518888888888889,0.188888888888889,0.292222222222222
"224","NSW",2021-08-16,480,5170324,119652,0.366363636,0.040909091,0.592727273,0.168125,0.35,0.481875
"225","NSW",2021-08-15,417,5050672,65634,0.388888889,0.027777778,0.583333333,0.213636363636364,0.34,0.446363636363636
"226","NSW",2021-08-14,467,4985038,105595,0.320909091,0.037272727,0.641818182,0.311764705882353,0.207647058823529,0.480588235294118
"227","NSW",2021-08-13,391,4879443,106331,0.286923077,0.031538462,0.681538462,0.183846153846154,0.184615384615385,0.631538461538461
"228","NSW",2021-08-12,347,4773112,105064,0.252307692,0.033846154,0.713846154,0.333333333333333,0.365555555555556,0.301111111111111
"229","NSW",2021-08-11,344,4668048,106592,0.473636364,0.042727273,0.483636364,0.404444444444444,0.512222222222222,0.0833333333333333
"230","NSW",2021-08-10,360,4561456,98244,0.368181818,0.042727273,0.589090909,0.274285714285714,0.294285714285714,0.431428571428571
"231","NSW",2021-08-09,285,4463212,25483,0.51375,0.0325,0.45375,0.377777777777778,0.133333333333333,0.488888888888889
"232","NSW",2021-08-08,268,4437729,58317,0.474285714,0.058571429,0.467142857,0.176666666666667,0.248888888888889,0.574444444444444
"233","NSW",2021-08-07,321,4379412,89499,0.207,0.027,0.766,0.10875,0.18125,0.71
"234","NSW",2021-08-06,291,4289913,93626,0.324,0.046,0.63,0.015,0.40125,0.58375
"235","NSW",2021-08-05,268,4196287,83620,0.360909091,0.047272727,0.591818182,0.08,0.59,0.33
"236","NSW",2021-08-04,234,4112667,84545,0.278181818,0.040909091,0.680909091,0.34,0.04,0.62
"237","NSW",2021-08-03,202,4028122,84623,0.361,0.039,0.6,0.377857142857143,0.331428571428571,0.290714285714286
"238","NSW",2021-08-02,209,3943499,25888,0.35,0.03,0.62,0.0926666666666667,0.186,0.721333333333333
"239","NSW",2021-08-01,241,3917611,45831,0.342,0.031,0.627,0.181363636363636,0.399090909090909,0.419545454545455
"240","NSW",2021-07-31,212,3871780,82220,0.153333333,0.03,0.816666667,0.178235294117647,0.214117647058824,0.607647058823529
"241","NSW",2021-07-30,172,3789560,83637,0.267,0.034,0.699,0.233125,0.325,0.441875
"242","NSW",2021-07-29,240,3705923,79319,0.265454545,0.035454545,0.699090909,0.364615384615385,0.420769230769231,0.214615384615385
"243","NSW",2021-07-28,177,3626604,76927,0.385384615,0.026923077,0.587692308,0.0388235294117647,0.711176470588235,0.25
"244","NSW",2021-07-27,175,3549677,71396,0.3375,0.025,0.6375,0.102,0.138,0.76
"245","NSW",2021-07-26,151,3478281,23449,0.414,0.028,0.558,0.253846153846154,0.204615384615385,0.541538461538462
"246","NSW",2021-07-25,141,3454832,40700,0.353333333,0.022222222,0.624444444,0.278,0.213,0.509
"247","NSW",2021-07-24,164,3414132,70192,0.2275,0.03375,0.73875,0.265625,0.26375,0.470625
"248","NSW",2021-07-23,141,3343940,75652,0.217142857,0.031428571,0.751428571,0.278888888888889,0.334444444444444,0.386666666666667
"249","NSW",2021-07-22,124,3268288,64905,0.34875,0.0375,0.61375,0.17875,0.14875,0.6725
"250","NSW",2021-07-21,112,3203383,66851,0.38,0.038333333,0.581666667,0.19625,0.125,0.67875
"251","NSW",2021-07-20,79,3136532,65041,0.300769231,0.039230769,0.66,0.304285714285714,0.371428571428571,0.324285714285714
"252","NSW",2021-07-19,100,3071491,20464,0.331818182,0.039090909,0.629090909,0.135,0.495,0.37
"253","NSW",2021-07-18,109,3051027,36573,0.315,0.035,0.65,0.02,0.396666666666667,0.583333333333333
"254","NSW",2021-07-17,117,3014454,62644,0.365,0.036,0.599,0.234285714285714,0.440714285714286,0.325
"255","NSW",2021-07-16,98,2951810,66701,0.306,0.03,0.664,0.46,0.04,0.5
"256","NSW",2021-07-15,67,2885109,58508,0.309090909,0.046363636,0.644545455,0.479090909090909,0.365454545454545,0.155454545454545
"257","NSW",2021-07-14,99,2826601,63455,0.377692308,0.049230769,0.573076923,0,1,0
"258","NSW",2021-07-13,93,2763146,54998,0.225,0.045,0.73,0.158333333333333,0.441666666666667,0.4
"259","NSW",2021-07-12,116,2708148,15925,0.28,0.041818182,0.678181818,0.15,0.367777777777778,0.482222222222222
"260","NSW",2021-07-11,82,2692223,29063,0.325,0.04,0.635,0.43,0.08,0.49
"261","NSW",2021-07-10,52,2663160,51003,0.3225,0.03875,0.63875,0.1375,0.31,0.5525
"262","NSW",2021-07-09,45,2612157,55953,0.304545455,0.040909091,0.654545455,0.377777777777778,0.09,0.532222222222222
"263","NSW",2021-07-08,38,2556204,50650,0.342727273,0.04,0.617272727,0.387272727272727,0.364545454545455,0.248181818181818
"264","NSW",2021-07-07,28,2505554,51994,0.342727273,0.04,0.617272727,0.156666666666667,0.267777777777778,0.575555555555556
"265","NSW",2021-07-06,18,2453560,47708,0.325,0.04,0.635,0.147058823529412,0.308823529411765,0.544117647058823
"266","NSW",2021-07-05,37,2405852,17447,0.377777778,0.028888889,0.593333333,0.17,0.38,0.45
"267","NSW",2021-07-04,16,2388405,26294,0.376666667,0.041666667,0.581666667,0.02,0.505,0.475
"268","NSW",2021-07-03,40,2362111,49483,0.31625,0.03375,0.65,0.12,0.43,0.45
"269","NSW",2021-07-02,32,2312628,52885,0.28,0.061666667,0.658333333,0.282352941176471,0.275294117647059,0.442352941176471
"270","NSW",2021-07-01,28,2259743,48463,0.25,0.05,0.7,0.302307692307692,0.187692307692308,0.51
"271","NSW",2021-06-30,28,2211280,46010,NA,NA,NA,NA,NA,NA
"272","NSW",2021-06-29,20,2165270,38095,NA,NA,NA,NA,NA,NA
"273","NSW",2021-06-28,22,2127175,12652,NA,NA,NA,NA,NA,NA
"274","NSW",2021-06-27,32,2114523,20248,NA,NA,NA,NA,NA,NA
"275","NSW",2021-06-26,12,2094275,35880,NA,NA,NA,NA,NA,NA
"276","NSW",2021-06-25,23,2058395,43006,NA,NA,NA,NA,NA,NA
"277","NSW",2021-06-24,12,2015389,39727,NA,NA,NA,NA,NA,NA
"278","NSW",2021-06-23,17,1975662,39289,NA,NA,NA,NA,NA,NA
"279","NSW",2021-06-22,10,1936373,37235,NA,NA,NA,NA,NA,NA
"280","NSW",2021-06-21,7,1899138,2349,NA,NA,NA,NA,NA,NA
"281","NSW",2021-06-20,6,1896789,17277,NA,NA,NA,NA,NA,NA
"282","NSW",2021-06-19,6,1879512,37496,NA,NA,NA,NA,NA,NA
"283","NSW",2021-06-18,1,1842016,41791,NA,NA,NA,NA,NA,NA
"284","NSW",2021-06-17,5,1800225,39457,NA,NA,NA,NA,NA,NA
"285","NSW",2021-06-16,3,1760768,40434,NA,NA,NA,NA,NA,NA
