state,date,daily_newcase,total_doses,daily_doses,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative
NSW,25/07/2021,141,3454832,40700,0.353333333,0.022222222,0.624444444
NSW,24/07/2021,164,3414132,70192,0.2275,0.03375,0.73875
NSW,23/07/2021,141,3343940,75652,0.217142857,0.031428571,0.751428571
NSW,22/07/2021,124,3268288,64905,0.34875,0.0375,0.61375
NSW,21/07/2021,112,3203383,66851,0.38,0.038333333,0.581666667
NSW,20/07/2021,79,3136532,65041,0.300769231,0.039230769,0.66
NSW,19/07/2021,100,3071491,20464,0.331818182,0.039090909,0.629090909
NSW,18/07/2021,109,3051027,36573,0.315,0.035,0.65
NSW,17/07/2021,117,3014454,62644,0.365,0.036,0.599
NSW,16/07/2021,98,2951810,66701,0.306,0.03,0.664
NSW,15/07/2021,67,2885109,58508,0.309090909,0.046363636,0.644545455
NSW,14/07/2021,99,2826601,63455,0.377692308,0.049230769,0.573076923
NSW,13/07/2021,93,2763146,54998,0.225,0.045,0.73
NSW,12/07/2021,116,2708148,15925,0.28,0.041818182,0.678181818
NSW,11/07/2021,82,2692223,29063,0.325,0.04,0.635
NSW,10/07/2021,52,2663160,51003,0.3225,0.03875,0.63875
NSW,9/07/2021,45,2612157,55953,0.304545455,0.040909091,0.654545455
NSW,8/07/2021,38,2556204,50650,0.342727273,0.04,0.617272727
NSW,7/07/2021,28,2505554,51994,0.342727273,0.04,0.617272727
NSW,6/07/2021,18,2453560,47708,0.325,0.04,0.635
NSW,5/07/2021,37,2405852,17447,0.377777778,0.028888889,0.593333333
NSW,4/07/2021,16,2388405,26294,0.376666667,0.041666667,0.581666667
NSW,3/07/2021,40,2362111,49483,0.31625,0.03375,0.65
NSW,2/07/2021,32,2312628,52885,0.28,0.061666667,0.658333333
NSW,1/07/2021,28,2259743,48463,0.25,0.05,0.7
NSW,30/06/2021,28,2211280,46010,NA,NA,NA
NSW,29/06/2021,20,2165270,38095,NA,NA,NA
NSW,28/06/2021,22,2127175,12652,NA,NA,NA
NSW,27/06/2021,32,2114523,20248,NA,NA,NA
NSW,26/06/2021,12,2094275,35880,NA,NA,NA
NSW,25/06/2021,23,2058395,43006,NA,NA,NA
NSW,24/06/2021,12,2015389,39727,NA,NA,NA
NSW,23/06/2021,17,1975662,39289,NA,NA,NA
NSW,22/06/2021,10,1936373,37235,NA,NA,NA
NSW,21/06/2021,7,1899138,2349,NA,NA,NA
NSW,20/06/2021,6,1896789,17277,NA,NA,NA
NSW,19/06/2021,6,1879512,37496,NA,NA,NA
NSW,18/06/2021,1,1842016,41791,NA,NA,NA
NSW,17/06/2021,5,1800225,39457,NA,NA,NA
NSW,16/06/2021,3,1760768,40434,NA,NA,NA
NSW,15/06/2021,4,1720334,14023,NA,NA,NA
NSW,14/06/2021,6,1706311,1205,NA,NA,NA
NSW,13/06/2021,1,1705106,12998,NA,NA,NA
NSW,12/06/2021,1,1692108,36329,NA,NA,NA
NSW,11/06/2021,1,1655779,41304,NA,NA,NA
NSW,10/06/2021,3,1614475,37917,NA,NA,NA
NSW,9/06/2021,4,1576558,39484,NA,NA,NA
NSW,8/06/2021,5,1537074,36276,NA,NA,NA
NSW,7/06/2021,5,1500798,2735,NA,NA,NA
NSW,6/06/2021,5,1498063,16772,NA,NA,NA
NSW,5/06/2021,0,1481291,35974,NA,NA,NA
NSW,4/06/2021,0,1445317,41722,NA,NA,NA
NSW,3/06/2021,2,1403595,40378,NA,NA,NA
NSW,2/06/2021,1,1363217,37779,NA,NA,NA
NSW,1/06/2021,0,1325438,35474,NA,NA,NA
NSW,31/05/2021,2,1289964,1989,NA,NA,NA
NSW,30/05/2021,5,1287975,15968,NA,NA,NA
NSW,29/05/2021,1,1272007,35752,NA,NA,NA
NSW,28/05/2021,3,1236255,37570,NA,NA,NA
NSW,27/05/2021,0,1198685,35917,NA,NA,NA
NSW,26/05/2021,2,1162768,33966,NA,NA,NA
NSW,25/05/2021,2,1128802,29512,NA,NA,NA
NSW,24/05/2021,2,1099290,1775,NA,NA,NA
